"pakbus","plot","address","barcode"
"185","T1_R1_VR_C_NW","a","zUf93aBDqeV3ww4MGaIHh"
"185","T1_R1_VR_S_SE","b","QdO7G7JHf44BIA_XTMpHH"
"185","T1_R1_VR_B_NE","c","5UujwrYmq6TVGGqYuUHLe"
"185","T1_R1_VR_G_SW","d","_44Ve9GXPQHuCIMTQB2z3"
"185","T1_R1_D1_C_NW","5","SpMZMC3USE4VvgfHKPnb6"
"192","T1_R2_D2_C_NW","7","hwVlndu_XavfVbJQGoqcP"
"192","T1_R2_D2_S_SE","8","QP55PWJHh9LlQxiE-eJFz"
"192","T1_R2_D2_B_SW","a","jrJmWGZPqSctzrftkfMl6"
"192","T1_R2_D2_G_NE","f","avwKjY-nXMRTXmrfStyco"
"192","T1_R2_D3_C_SE","1","oOIPPkS_vjM_WiZj1EJa4"
"192","T1_R2_D3_G_SW","2","y1sE1KcqyVf-BdvT3Y57H"
"192","T1_R2_VR_B_NW","h","x5YJKPhr2rEk4tuT2j02O"
"192","T1_R2_VR_B_NW","j","SN9J5h8rbeayIcU-o6xoX"
"192","T1_R2_VR_B_NW","i","ffwcAU2Q_svtK7QDGF3kX"
"185","T1_R1_IR_B_SW","4","oU8BRnuleaTBjIRbfhYL9"
"185","T1_R1_IR_C_NW","1","hGirzWa_h57N-MiMgmYiu"
"185","T1_R1_IR_G_NE","3","P3z2kdUGX605a2I7e99PB"
"185","T1_R1_IR_S_SE","2","KRrwt4wh6txwyq-mOS2pK"
"187","T1_R3_D2_B_NE","0","Krrcy-CIPmioYggkxzCkL"
"187","T1_R3_D2_S_SW","9","K8egj7pAGlQ0R4B-oj7TE"
"187","T1_R3_D2_C_SE","7","erd5mHDU5EHGM69Sw1QAt"
"187","T1_R3_IR_B_NE","8","rAfGoYdMxHaP3oUA5ycYm"
"187","T1_R3_IR_C_SW","3","xMt2-US4K_0R6AuIWK8Cs"
"187","T1_R3_IR_S_NW","4","Tjdnj6nwI1me14ivCgYJA"
"187","T1_R3_VR_G_SE","5","5IGwVFbj804i3ntDaBg0z"
"187","T1_R3_VR_B_NE","6","f9yxpq4GOS05JqrYFXLac"
"187","T1_R3_VR_S_NW","1","lKmz8dTddt3okDTHsxkO8"
"187","T1_R3_VR_C_SW","2","VPGDGQwmS4wJluWx5OCAy"
"188","T1_R4_D1_C_SE","1","MIaY08HA-vzUmZz9kGkQ1"
"188","T1_R4_D1_S_SW","2","oTrUQAIVmCSXzITJAZI4c"
"188","T1_R4_D2_C_SE","0","DwzGUP1PGeE5r3VmO6-mG"
"188","T1_R4_D2_S_NE","7","IRxW3CgaoyXObqGI8dQmF"
"188","T1_R4_D2_G_NW","8","1ucr7eUx7bbxfQko45tIQ"
"188","T1_R4_D2_B_SW","9","UUPb99vNbJWcVpO9f0xw9"
